Nazarette	pa:9:137
Nella	pu:23:87
Nembrotto	i:31:77
Nembròt	pu:12:34	pa:26:126
Neri	i:24:143
Nerli	pa:15:115
Nesso	i:12:67	i:12:98	i:13:1
Nettuno	i:28:83	pa:33:96
Niccolò	i:29:127	pu:20:32
Niccosïa	pa:19:146
Nil	pa:6:66
Nilo	i:34:45	pu:24:64
Nin	pu:8:53
Nino	i:5:59
Niso	i:1:108
Noarese	i:28:59
Nocera	pa:11:48
Noli	pu:4:25
Normandia	pu:20:66
Norvegia	pa:19:139
Nostra Donna	pa:21:123
Notaro	pu:24:56
Noè	i:4:56	pa:12:17
Nïobè	pu:12:37
Oderisi	pu:11:79
Olimpo	pu:24:15
Oloferne	pu:12:59
Omberto	pu:11:67
Omero	i:4:88
Onorio	pa:11:98
Opizzo da Esti	i:12:111
Orazio	i:4:89
Orbino	i:27:29
Orbisaglia	pa:16:73
Oreste	pu:13:32
Orfeo	i:4:140
Orlando	i:31:18	pa:18:43
Ormanni	pa:16:89
Orse	pu:4:65	pa:2:9
Orso	pu:6:19
Orïaco	pu:5:80
Orïente	pa:11:54
Osterlicchi	i:32:26
Ostïense	pa:12:83
Ottacchero	pu:7:100
Ottavian	pu:7:6
Ovidio	i:4:90	i:25:97
Pachino	pa:8:68
Pado	pa:15:137
Padoan	i:15:7
Padova	pa:9:46
Padre	pa:27:1
Pagan	pu:14:118
Palermo	pa:8:75
Pallade	pu:12:31
